"Date","Price","Open","High","Low","Change %"
"06/02/2023","1,736.30","1,837.18","1,837.18","1,736.30","-5.44%"
"06/01/2023","1,836.25","1,836.25","1,836.25","1,795.42","2.46%"
"05/31/2023","1,792.19","1,792.19","1,792.19","1,709.74","4.82%"
"05/30/2023","1,709.74","1,740.30","1,740.30","1,709.74","-1.76%"
"05/29/2023","1,740.43","1,740.43","1,740.43","1,736.34","0.24%"
"05/26/2023","1,736.34","1,760.52","1,760.52","1,736.34","-1.30%"
"05/25/2023","1,759.27","1,759.27","1,759.27","1,753.41","0.49%"
"05/24/2023","1,750.62","1,750.62","1,750.62","1,711.76","2.13%"
"05/23/2023","1,714.12","1,714.12","1,714.12","1,690.21","1.49%"
"05/22/2023","1,689.00","1,689.00","1,689.00","1,680.02","0.60%"
"05/19/2023","1,678.99","1,789.71","1,789.71","1,678.99","-8.55%"
"05/18/2023","1,835.99","1,945.34","1,945.34","1,835.99","0.02%"
"05/17/2023","1,835.71","1,835.71","1,835.71","1,818.08","0.00%"
"05/16/2023","1,835.70","1,835.70","1,835.70","1,818.11","0.00%"
"05/15/2023","1,835.69","1,835.69","1,835.69","1,818.15","0.00%"
"05/12/2023","1,835.67","1,835.67","1,835.67","1,818.18","0.00%"
"05/11/2023","1,835.66","1,835.66","1,835.66","1,818.22","0.00%"
"05/10/2023","1,835.64","1,835.64","1,835.64","1,818.20","0.00%"
"05/09/2023","1,835.63","1,835.63","1,835.63","1,818.17","1.02%"
"05/08/2023","1,817.07","1,817.07","1,817.07","1,813.88","0.38%"
"05/05/2023","1,810.17","1,810.17","1,810.17","1,796.71","0.94%"
"05/04/2023","1,793.27","1,793.27","1,793.27","1,754.67","2.04%"
"05/03/2023","1,757.48","1,757.48","1,757.48","1,745.58","0.58%"
"05/02/2023","1,747.31","1,747.31","1,747.31","1,731.89","1.04%"
"05/01/2023","1,729.36","1,729.36","1,729.36","1,725.08","0.40%"
"04/28/2023","1,722.45","1,722.45","1,722.45","1,445.38","-2.35%"
"04/27/2023","1,763.83","1,788.40","1,788.40","1,763.83","-1.28%"
"04/26/2023","1,786.79","1,786.79","1,786.79","1,752.91","1.95%"
"04/25/2023","1,752.58","1,752.58","1,752.58","1,717.45","1.89%"
"04/24/2023","1,720.03","1,720.03","1,720.03","1,628.18","5.81%"
"04/21/2023","1,625.64","1,625.64","1,625.64","1,588.98","2.22%"
"04/20/2023","1,590.40","1,590.40","1,590.40","1,532.77","3.79%"
"04/19/2023","1,532.38","1,532.38","1,532.38","1,468.85","4.31%"
"04/18/2023","1,469.00","1,482.77","1,482.77","1,469.00","-0.83%"
"04/17/2023","1,481.35","1,481.35","1,481.35","1,476.13","0.56%"
"04/14/2023","1,473.03","1,473.03","1,473.03","1,459.06","0.99%"
"04/13/2023","1,458.59","1,458.59","1,458.59","1,445.42","-0.99%"
"04/12/2023","1,473.11","1,473.11","1,473.11","1,445.40","1.94%"
"04/11/2023","1,445.05","1,445.05","1,445.05","1,378.90","4.96%"
"04/10/2023","1,376.75","1,376.75","1,376.75","1,376.75","0.54%"
"04/07/2023","1,369.33","1,369.33","1,369.33","1,369.33","0.07%"
"04/06/2023","1,368.33","1,368.33","1,368.33","1,354.12","1.04%"
"04/05/2023","1,354.29","1,354.29","1,354.29","1,273.81","6.35%"
"04/04/2023","1,273.39","1,286.60","1,286.60","1,273.39","-1.12%"
"04/03/2023","1,287.79","1,314.68","1,314.68","1,287.79","-1.80%"
"03/31/2023","1,311.46","1,356.21","1,356.21","1,311.46","-3.23%"
"03/30/2023","1,355.24","1,399.03","1,399.03","1,355.24","-2.90%"
"03/29/2023","1,395.76","1,422.21","1,422.21","1,395.76","-1.76%"
"03/28/2023","1,420.78","1,420.78","1,420.78","1,405.46","1.15%"
"03/27/2023","1,404.60","1,410.36","1,410.36","1,404.60","-0.22%"
"03/24/2023","1,407.73","1,407.73","1,407.73","1,363.64","3.20%"
"03/23/2023","1,364.07","1,364.41","1,364.41","1,364.07","-0.25%"
"03/22/2023","1,367.45","1,367.45","1,367.45","1,355.03","0.93%"
"03/21/2023","1,354.90","1,491.05","1,491.05","1,354.90","-9.19%"
"03/20/2023","1,491.98","1,491.98","1,491.98","1,459.74","0.03%"
"03/17/2023","1,491.59","1,491.59","1,491.59","1,452.74","2.83%"
"03/16/2023","1,450.61","1,485.27","1,485.27","1,450.61","-2.16%"
"03/15/2023","1,482.68","1,482.68","1,482.68","1,482.68","20.52%"
"03/14/2023","1,230.22","1,230.22","1,230.22","1,230.22","0.00%"
"03/13/2023","1,230.19","1,230.19","1,230.19","1,230.19","-0.24%"
"03/10/2023","1,233.09","1,233.09","1,233.09","1,199.91","2.21%"
"03/09/2023","1,206.48","1,206.48","1,206.48","1,175.66","2.69%"
"03/08/2023","1,174.92","1,174.92","1,174.92","1,147.87","2.49%"
"03/07/2023","1,146.36","1,146.36","1,146.36","1,116.94","2.70%"
"03/06/2023","1,116.19","1,134.03","1,134.03","1,116.19","-1.47%"
"03/03/2023","1,132.90","1,167.40","1,167.40","1,132.90","-2.94%"
"03/02/2023","1,167.16","1,167.16","1,167.16","1,084.87","7.76%"
"03/01/2023","1,083.08","1,083.08","1,083.08","1,037.24","4.50%"
"02/28/2023","1,036.48","1,036.48","1,036.48","966.55","7.26%"
"02/27/2023","966.32","966.32","966.32","954.66","1.35%"
"02/24/2023","953.44","953.44","953.44","919.13","3.77%"
"02/23/2023","918.82","926.72","926.72","918.82","-0.85%"
"02/22/2023","926.72","926.72","926.72","910.55","1.47%"
"02/21/2023","913.26","926.18","926.18","913.26","-0.88%"
"02/20/2023","921.41","926.14","926.14","921.41","-0.36%"
"02/17/2023","924.76","924.76","924.76","915.92","1.08%"
"02/16/2023","914.92","961.57","961.57","914.92","-4.94%"
"02/15/2023","962.47","979.76","979.76","962.47","-1.76%"
"02/14/2023","979.76","994.72","994.72","979.76","-1.54%"
"02/13/2023","995.04","1,013.71","1,013.71","995.04","-1.92%"
"02/10/2023","1,014.48","1,014.48","1,014.48","914.87","10.73%"
"02/09/2023","916.18","916.18","916.18","910.33","0.66%"
"02/08/2023","910.21","910.21","910.21","907.44","0.26%"
"02/07/2023","907.81","907.81","907.81","884.96","2.21%"
"02/06/2023","888.19","888.19","888.19","820.30","8.03%"
"02/03/2023","822.17","822.17","822.17","743.02","10.62%"
"02/02/2023","743.24","811.30","811.30","743.24","-8.17%"
"02/01/2023","809.36","859.15","859.15","809.36","-5.65%"
"01/31/2023","857.84","857.84","857.84","842.12","1.73%"
"01/30/2023","843.28","843.28","843.28","809.81","4.10%"
"01/27/2023","810.03","821.69","821.69","810.03","-1.48%"
"01/26/2023","822.19","839.11","839.11","822.19","-2.00%"
"01/25/2023","838.94","838.94","838.94","798.49","5.15%"
"01/24/2023","797.82","797.82","797.82","733.78","8.58%"
"01/23/2023","734.80","736.64","736.64","734.80","-0.41%"
"01/20/2023","737.80","737.80","737.80","731.16","0.88%"
"01/19/2023","731.40","731.40","731.40","709.04","3.41%"
"01/18/2023","707.31","748.64","748.64","707.31","-5.46%"
"01/17/2023","748.17","763.43","763.43","748.17","-1.98%"
"01/16/2023","763.27","763.27","763.27","762.97","-0.12%"
"01/13/2023","764.21","795.99","795.99","764.21","-3.72%"
"01/12/2023","793.74","809.20","809.20","793.74","-1.81%"
"01/11/2023","808.41","813.13","813.13","808.41","-0.68%"
"01/10/2023","813.95","813.95","813.95","789.39","3.21%"
"01/09/2023","788.65","823.59","823.59","788.65","-4.24%"
"01/06/2023","823.59","847.06","847.06","823.59","-2.89%"
"01/05/2023","848.14","848.14","848.14","797.64","6.44%"
"01/04/2023","796.81","835.85","835.85","796.81","-4.67%"
"01/03/2023","835.85","865.37","865.37","835.85","-3.47%"
"01/02/2023","865.93","865.93","865.93","865.81","-0.15%"
"12/30/2022","867.25","867.25","867.25","866.50","0.11%"
"12/29/2022","866.29","866.29","866.29","864.15","0.16%"
"12/28/2022","864.90","864.90","864.90","864.42","-0.10%"
"12/27/2022","865.77","865.77","865.77","864.31","0.20%"
"12/26/2022","864.04","864.07","864.07","864.04","-0.15%"
"12/23/2022","865.36","865.36","865.36","864.51","0.06%"
"12/22/2022","864.87","864.87","864.87","864.15","0.12%"
"12/21/2022","863.86","864.57","864.57","863.86","-0.16%"
"12/20/2022","865.24","865.24","865.24","864.52","-0.06%"
"12/19/2022","865.72","865.72","865.72","864.80","0.20%"
"12/16/2022","863.99","863.99","863.99","802.71","7.64%"
"12/15/2022","802.70","802.70","802.70","776.07","3.51%"
"12/14/2022","775.51","775.51","775.51","775.22","0.28%"
"12/13/2022","773.34","800.02","800.02","773.34","-3.48%"
"12/12/2022","801.20","806.88","806.88","801.20","-0.77%"
"12/09/2022","807.44","807.44","807.44","802.09","0.43%"
"12/08/2022","803.97","827.82","827.82","803.97","-2.55%"
"12/07/2022","825.00","825.00","825.00","810.46","1.99%"
"12/06/2022","808.92","808.92","808.92","741.35","8.76%"
"12/05/2022","743.80","762.17","762.17","743.80","-2.28%"
"12/02/2022","761.15","761.15","761.15","752.45","1.36%"
"12/01/2022","750.95","781.00","781.00","750.95","-3.05%"
"11/30/2022","774.57","781.30","781.30","774.57","-0.93%"
"11/29/2022","781.87","846.02","846.02","781.87","-7.55%"
